구분,등급,분류,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
관광호텔업,5성급,업체수,26,9,3,6,0,1,1,0,2,5,0,0,0,1,2,0,18
관광호텔업,5성급,객실수,10615,2991,818,3759,0,171,200,0,1258,1587,0,0,0,311,760,0,6881
관광호텔업,4성급,업체수,47,7,4,5,3,2,3,1,15,10,1,2,6,5,4,5,17
관광호텔업,4성급,객실수,13077,2388,535,1355,420,505,550,281,3638,1905,180,294,715,852,1015,830,2908
관광호텔업,3성급,업체수,91,19,7,7,4,4,5,0,22,13,4,5,5,7,8,9,27
관광호텔업,3성급,객실수,16530,2753,372,796,288,392,1162,0,3175,1038,339,729,476,516,638,1001,2310
관광호텔업,2성급,업체수,85,41,9,30,4,6,5,1,51,9,4,1,6,12,12,20,11
관광호텔업,2성급,객실수,6824,3674,628,2332,220,328,601,31,3315,468,347,52,322,562,564,811,573
관광호텔업,1성급,업체수,26,5,2,18,0,0,1,0,6,2,3,0,1,0,1,5,11
관광호텔업,1성급,객실수,1322,237,74,925,0,0,33,0,363,98,122,0,31,0,31,259,659
관광호텔업,등급 없음,업체수,41,26,4,23,4,3,6,0,25,9,3,8,12,21,17,14,33
관광호텔업,등급 없음,객실수,4758,1625,219,1590,298,199,260,0,1787,775,476,396,813,1447,1120,834,2274
수상관광호텔업,,업체수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수상관광호텔업,,객실수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한국전통호텔업,,업체수,0,0,0,2,0,0,0,0,1,2,0,0,2,2,1,0,1
한국전통호텔업,,객실수,0,0,0,74,0,0,0,0,9,15,0,0,26,61,16,0,26
가족호텔업,,업체수,17,1,0,2,0,1,0,0,14,13,2,4,7,9,4,18,60
가족호텔업,,객실수,2867,37,0,462,0,80,0,0,803,725,102,211,2220,572,186,1273,3919
호스텔업,,업체수,139,176,8,102,1,0,5,2,29,94,11,6,28,337,43,34,165
호스텔업,,객실수,4153,1391,94,1209,18,0,33,44,875,785,148,60,330,3633,536,390,4196
소형호텔업,,업체수,9,6,0,3,0,0,0,0,10,6,0,1,5,2,4,5,5
소형호텔업,,객실수,228,157,0,69,0,0,0,0,266,146,0,23,102,55,95,121,114
의료관광호텔업,,업체수,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
의료관광호텔업,,객실수,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
휴양 콘도미니엄업,,업체수,1,8,0,2,0,0,0,1,21,76,6,16,5,12,16,17,65
휴양 콘도미니엄업,,객실수,334,1960,0,184,0,0,0,55,3457,20867,1961,2892,637,1659,3303,2805,9314
